Model,ROC AUC,Accuracy,Time (s)
RandomForest with StandardScaler,0.8337037037037036,0.7467532467532467,0.040373802185058594
RandomForest with RobustScaler,0.8331481481481481,0.7402597402597403,0.041887760162353516
RandomForest with MinMaxScaler,0.8322222222222222,0.7467532467532467,0.04085731506347656
XGBoost with RobustScaler,0.8140740740740742,0.7467532467532467,0.023800134658813477
XGBoost with StandardScaler,0.8140740740740742,0.7467532467532467,0.024957656860351562
XGBoost with MinMaxScaler,0.8140740740740742,0.7467532467532467,0.04985976219177246
SVM with MinMaxScaler,0.8066666666666666,0.7272727272727273,0.015517234802246094
SVM with RobustScaler,0.8033333333333333,0.7467532467532467,0.015658855438232422
LogisticRegression with RobustScaler,0.7983333333333332,0.7077922077922078,0.005942583084106445
LogisticRegression with StandardScaler,0.7968518518518518,0.7077922077922078,0.006618022918701172
LogisticRegression with MinMaxScaler,0.7966666666666667,0.7012987012987013,0.0068967342376708984
KNN with RobustScaler,0.7938888888888889,0.7012987012987013,0.013964414596557617
GradientBoosting with MinMaxScaler,0.7933333333333333,0.7272727272727273,0.009658336639404297
GradientBoosting with RobustScaler,0.7925925925925926,0.7272727272727273,0.009788751602172852
GradientBoosting with StandardScaler,0.7925925925925926,0.7337662337662337,0.00935673713684082
SVM with StandardScaler,0.7889814814814814,0.7207792207792207,0.015753984451293945
KNN with StandardScaler,0.7837962962962963,0.7272727272727273,0.012630701065063477
KNN with MinMaxScaler,0.7594444444444445,0.6948051948051948,0.017471790313720703
